2023-04-10 22:37:14.836+0000 INFO  Starting...
2023-04-10 22:37:15.352+0000 INFO  This instance is ServerId{746986db} (746986db-1e82-494d-acb1-b12ede8596bf)
2023-04-10 22:37:16.185+0000 INFO  ======== Neo4j 5.6.0 ========
2023-04-10 22:37:23.094+0000 INFO  Called db.clearQueryCaches(): Query cache already empty.
2023-04-10 22:37:24.003+0000 INFO  Bolt enabled on 0.0.0.0:7687.
2023-04-10 22:37:24.638+0000 INFO  Remote interface available at http://localhost:7474/
2023-04-10 22:37:24.644+0000 INFO  id: ABE278D4A1FF178BE0DC5A9409716841F67744492887C359A022BCA8EBE6BE31
2023-04-10 22:37:24.646+0000 INFO  name: system
2023-04-10 22:37:24.647+0000 INFO  creationDate: 2023-04-10T22:37:17.126Z
2023-04-10 22:37:24.648+0000 INFO  Started.
2023-04-11 01:33:26.653+0000 INFO  Neo4j Server shutdown initiated by request
2023-04-11 01:33:26.655+0000 INFO  Stopping...
2023-04-11 01:33:31.708+0000 INFO  Stopped.
